Country_Code,Year,CO2_Emissions,GDP_Per_Capita,Renewable_Energy_Pct_x,Urbanization_Pct_x,GDP,Renewable_Energy_Pct_y,Urbanization_Pct_y
AFG,2000,1047127.94,19352.46582352076,36.3403931999427,89.80109965295168,6206547590.07403,45.0,18.5581995230666
AFG,2001,1069098.0,47585.001014085894,93.81811725247225,49.48002912580933,5621147630.73068,45.6,18.7412381251552
AFG,2002,1341065.0,36867.70314875885,27.556677630917846,24.271860154286486,7228795918.92525,37.8,18.9412480133309
AFG,2003,1559679.0,30334.265725654794,33.21725220617326,51.04555382907505,7867263256.28817,36.7,19.1600346409089
AFG,2004,1237247.0,8644.91338167939,70.08084180017403,75.12133884159441,7978515641.58304,44.2,19.3993593959593
AFG,2005,1889507.0,8643.73149647393,76.53162995253862,72.14882615186252,8874480195.58321,33.9,19.7059095753667
AFG,2006,2159318.0,3846.0969962417735,92.94034838491538,73.08654120867769,9349921885.77888,31.9,20.1104530189181
AFG,2007,2799909.0,43442.631142971826,20.48024090562095,66.64190271983294,10642671963.1135,28.8,20.5906579215423
AFG,2008,4254490.0,30454.635575417233,79.7998035219224,30.33742632533506,11060395115.6809,21.2,21.1241481349633
AFG,2009,6388232.0,35695.55631200623,73.85460533969635,78.96672686721851,13426272073.2398,16.5,21.6885475109053
AFG,2010,8364803.5,2008.64022049432,6.379455625359787,81.4754772301012,15354612541.5059,15.2,22.2614799010924
AFG,2011,11409623.0,48525.58275593772,38.722314121020695,25.532215729483923,15420077665.5323,12.6,22.8205691572485
AFG,2012,9731202.0,41789.68939922067,28.27654570600986,20.43645092411151,17386490239.3536,15.4,23.3434391310979
AFG,2013,8891447.0,11404.616423235531,30.44904243540304,88.04839748712897,18360263162.7578,16.9,23.8077136743646
AFG,2014,8697668.0,9909.42339314793,98.29468795547008,79.46591709202943,18860496494.0404,19.1,24.1910166387726
AFG,2015,9384400.0,9986.820982818257,64.27774134799279,81.45889177679574,19134221644.7325,17.7,24.4649118421568
AFG,2016,8605932.0,15907.869905017349,71.76761577934995,80.91011076995161,19566715174.1633,20.2,24.6588345720126
AFG,2017,9311054.0,26713.065149979655,97.66176373150091,53.33494592269827,20084646751.4954,19.5,24.8352821238871
